Project Name,2020 Price,2021 Price,2022 Price,2023 Price,2024 Price,2025 Price,2026 Price,Appreciation,Appreciation_Clean_%,Area,Community Type,DWC Travel Time,DXB Travel Time,Developer,Downtown Travel Time,File1 Appreciation,ID,Launch Year,Marina Travel Time,Master Community,PPSM,Price_Segment,Price_Vs_Community_Avg_%,Project_Stage,Projected_CAGR_24_26,Rental Yield %,Service Charge,Start Price,Unit Type
Sera 2,,,,,"2,100","2,330","2,450",+11%,11,Rashid Yachts,Waterfront/Marina,40m,15m,Emaar Properties,15m,,12,2024,25m,Rashid Yachts,,Mid-Range,,Under Construction / New,0.08012345,6,18.5,"2,110,000",Apartments
Marina Cove,,,,,"2,050","2,250","2,360",+12%,12,Rashid Yachts,Waterfront/Marina,25m,25m,Emaar Properties,20m,,11,2024,0m,Dubai Marina,,Mid-Range,,Under Construction / New,0.072948979,6.5,18,"2,030,000",Apartments
Ocean Cove,,,,,"2,250","2,520","2,670",+10%,10,Rashid Yachts,Waterfront/Marina,40m,15m,Emaar Properties,15m,,13,2024,25m,Rashid Yachts,,Mid-Range,,Under Construction / New,0.089342309,6,19,"3,220,000",Apartments
Seagate,,,"1,650","1,900","2,120","2,330","2,470",+38%,38,Rashid Yachts,Waterfront/Marina,40m,15m,Emaar Properties,15m,,15,2022,25m,Rashid Yachts,,Mid-Range,,Recently Delivered,0.079395358,6,18.5,"2,300,000",Apartments
Baystar,,,,,"2,300","2,620","2,800",+15%,15,Rashid Yachts,Waterfront/Marina,40m,15m,Emaar Properties,15m,,14,2024,25m,Rashid Yachts,,Mid-Range,,Under Construction / New,0.103354569,6,19.5,"2,100,000",Apartments
Sunridge,,,,"1,700","1,940","2,130","2,260",+22%,22,Rashid Yachts,Waterfront/Marina,40m,15m,Emaar Properties,15m,,17,2023,25m,Rashid Yachts,,Mid-Range,,Recently Delivered,0.079327779,6,18.5,"2,400,000",Apartments
Clearpoint,,,,"1,750","2,010","2,230","2,380",+25%,25,Rashid Yachts,Waterfront/Marina,40m,15m,Emaar Properties,15m,,16,2023,25m,Rashid Yachts,,Mid-Range,,Recently Delivered,0.088154218,6,18.5,"2,500,000",Apartments
Dubai Creek Harbour,"1,150","1,220","1,450","1,630","1,800","1,950","2,050",+65% (Since 2020),65,Creek Harbour,Waterfront/Urban,35m,15m,Emaar Properties,10m,,18,2016,25m,Creek Harbour,,Unknown,,Established,0.067187373,6,17.5,Community,Apartments
Aeon,,,,,"1,900","2,200","2,350",+16%,16,Creek Harbour,Waterfront/Urban,35m,15m,Emaar Properties,10m,,20,2024,25m,Creek Harbour,,Mid-Range,,Under Construction / New,0.112134032,6,18,"1,750,000",Apartments
Valo,,,,,"1,850","2,110","2,240",+14%,14,Creek Harbour,Waterfront/Urban,35m,15m,Emaar Properties,10m,,19,2024,25m,Creek Harbour,,Mid-Range,,Under Construction / New,0.100368489,6,18,"1,780,000",Apartments
Mangrove,,,,,"1,650","1,900","2,010",+15%,15,Creek Beach,Waterfront/Beach,35m,15m,Emaar Properties,10m,,22,2024,25m,Creek Beach,,Affordable,,Under Construction / New,0.103712743,,16.5,"1,480,000",Apartments
Oria,,,,,"1,950","2,300","2,460",+18%,18,Creek Harbour,Waterfront/Urban,35m,15m,Emaar Properties,10m,,21,2024,25m,Creek Harbour,,Mid-Range,,Under Construction / New,0.123182292,6,18,"1,700,000",Apartments
Altan,,,,"1,550","1,740","1,910","2,030",+22%,22,Creek Beach,Waterfront/Beach,35m,15m,Emaar Properties,10m,,23,2023,25m,Creek Beach,,Mid-Range,,Recently Delivered,0.08012345,,16.5,"1,550,000",Apartments
Silva,,,,,"1,750","1,960","2,060",+12%,12,Creek Harbour,Waterfront/Urban,35m,15m,Emaar Properties,10m,,24,2024,25m,Creek Harbour,,Mid-Range,,Under Construction / New,0.084962145,6,17.5,"1,800,000",Apartments
Albero,,,,,"1,800","2,050","2,170",+14%,14,Creek Harbour,Waterfront/Urban,35m,15m,Emaar Properties,10m,,25,2024,25m,Creek Harbour,,Mid-Range,,Under Construction / New,0.097977939,6,17.5,"1,650,000",Apartments
Montiva,,,,,"1,850,000","1,900","1,980",+6%,6,Creek Harbour,Waterfront/Urban,35m,15m,Emaar Properties,10m,,26,2025,25m,Creek Harbour,,Mid-Range,,Under Construction / New,,6,18,"1,850,000",Apartments
Creek Waters 1,,,,"1,700","2,010","2,290","2,470",+35%,35,Creek Harbour,Waterfront/Urban,35m,15m,Emaar Properties,10m,,27,2023,25m,Creek Harbour,,Mid-Range,,Recently Delivered,0.10853765,6,19,"1,600,000",Apartments
Creek Waters 2,,,,"1,750","2,030","2,270","2,430",+32%,32,Creek Harbour,Waterfront/Urban,35m,15m,Emaar Properties,10m,,28,2023,25m,Creek Harbour,,Mid-Range,,Recently Delivered,0.094095213,6,19,"1,700,000",Apartments
Address Grand Creek,,,,"2,200","2,640","3,030","3,300",+40%,40,Creek Harbour,Waterfront/Luxury,35m,15m,Emaar Properties,10m,,30,2023,25m,Creek Harbour,,Mid-Range,,Recently Delivered,0.118033989,6,28,"2,200,000",Serviced Apt
Creek Gate,"1,200","1,290","1,490","1,660","1,810","1,950","2,050",+70% (Since 2020),70,Creek Harbour,Waterfront/Urban,35m,15m,Emaar Properties,10m,,29,2017,25m,Creek Harbour,,Affordable,,Established,0.064235258,6,16.5,"1,200,000",Apartments
Park Gate 2,,,,,"1,650","1,850","1,960",+12%,12,Dubai Hills,Gated/Green,25m,20m,Emaar Properties,15m,,32,2024,15m,Dubai Hills,,Mid-Range,,Under Construction / New,0.089898522,,3.5,"3,300,000",Villas
Dubai Hills Estate,"1,050","1,180","1,470","1,710","1,940","2,150","2,310",+85% (Since 2020),85,Dubai Hills,Master Community,25m,20m,Emaar Properties,15m,,31,2015,15m,Dubai Hills,,Unknown,,Established,0.091201929,,15.5,Community,Mixed
Rosehill,,,,,"1,700","1,940","2,070",+14%,14,Dubai Hills,Gated/Green,25m,20m,Emaar Properties,15m,,33,2024,15m,Dubai Hills,,Mid-Range,,Under Construction / New,0.103470461,,16,"3,100,000",Apartments
Greencrest,,,,,"15,000,000","2,800","2,940",+4%,4,Dubai Hills,Golf/Ultra-Luxury,25m,20m,Emaar Properties,15m,,34,2025,15m,Dubai Hills,,Luxury,,Under Construction / New,,,4.2,"15,000,000",Luxury Villas
Palace Residences,,,,,"1,950","2,300","2,510",+20%,20,Dubai Hills,Luxury/Golf,25m,20m,Emaar Properties,15m,,35,2024,15m,Dubai Hills,,Mid-Range,,Under Construction / New,0.134539328,,20,"1,710,000",Apartments
Vida Residences,,,,,"1,850","2,150","2,320",+18%,18,Dubai Hills,Lifestyle/Golf,25m,20m,Emaar Properties,15m,,36,2024,15m,Dubai Hills,,Mid-Range,,Under Construction / New,0.119845549,,19.5,"1,650,000",Apartments
Golf Hillside,,,,,"1,750","2,010","2,150",+15%,15,Dubai Hills,Golf/Green,25m,20m,Emaar Properties,15m,,37,2024,15m,Dubai Hills,,Affordable,,Under Construction / New,0.108409414,,16.5,"1,450,000",Apartments
Parkland,,,,,"1,700","1,940","2,070",+14%,14,Dubai Hills,Green/Family,25m,20m,Emaar Properties,15m,,38,2024,15m,Dubai Hills,,Mid-Range,,Under Construction / New,0.103470461,,16.5,"1,550,000",Apartments
Sidra Villas,"1,000","1,150","1,500","1,780","2,030","2,260","2,440",+110% (Since 2020),110,Dubai Hills,Gated/Family,25m,20m,Emaar Properties,15m,,39,2015,15m,Dubai Hills,,Mid-Range,,Established,0.096344126,,3.2,"3,500,000",Villas
Maple Townhouses,950,"1,100","1,410","1,650","1,880","2,080","2,230",+105% (Since 2020),105,Dubai Hills,Gated/Family,25m,20m,Emaar Properties,15m,,40,2015,15m,Dubai Hills,,Mid-Range,,Established,0.089114417,,3.2,"2,800,000",Townhouses
Address Villas Hillcrest,,,"1,800","2,200","2,600","2,960","3,230",+45%,45,Dubai Hills,Gated/Luxury,25m,20m,Emaar Properties,15m,,41,2022,15m,Dubai Hills,,Ultra-Luxury,,Recently Delivered,0.114588575,,5.5,"21,000,000",Luxury Villas
Velora,,,,,"1,250","1,440","1,540",+15%,15,The Valley,Gated/Family,30m,25m,Emaar Properties,25m,,43,2024,35m,The Valley,900,Mid-Range,,Under Construction / New,0.109954954,6,3,"2,800,000",Townhouses
The Valley (Master),800,860,"1,020","1,170","1,310","1,430","1,520",+60% (Since 2020),60,The Valley,Gated/Family,30m,25m,Emaar Properties,25m,,42,2019,35m,The Valley,900,Unknown,,Established,0.077174704,6,2.8,Community,Townhouses
Venera,,,,,"1,300","1,460","1,550",+12%,12,The Valley,Gated/Family,30m,25m,Emaar Properties,25m,,44,2024,35m,The Valley,900,Mid-Range,,Under Construction / New,0.091928428,6,3,"2,950,000",Townhouses
Rivera,,,,,"1,350","1,480","1,550",+10%,10,The Valley,Gated/Family,30m,25m,Emaar Properties,25m,,45,2024,35m,The Valley,900,Mid-Range,,Under Construction / New,0.071516751,6,3.2,"4,780,000",Townhouses
Avena,,,,,"1,280","1,430","1,520",+12%,12,The Valley,Gated/Family,30m,25m,Emaar Properties,25m,,46,2024,35m,The Valley,900,Mid-Range,,Under Construction / New,0.089724736,6,3,"4,360,000",Townhouses
Ovelle,,,,,"1,400","1,510","1,570",+8%,8,The Valley,Gated/Family,30m,25m,Emaar Properties,25m,,47,2024,35m,The Valley,900,Luxury,,Under Construction / New,0.058975246,6,3.2,"7,080,000",Townhouses
Avelia,,,,,"1,450","1,550","1,610",+7%,7,The Valley,Gated/Family,30m,25m,Emaar Properties,25m,,48,2024,35m,The Valley,900,Luxury,,Under Construction / New,0.053729011,6,3.2,"7,250,000",Townhouses
Elora,,,,"1,150","1,360","1,520","1,640",+30%,30,The Valley,Gated/Family,30m,25m,Emaar Properties,25m,,49,2023,35m,The Valley,900,Mid-Range,,Recently Delivered,0.098126747,6,3,"1,600,000",Townhouses
Rivana,,,,"1,200","1,380","1,530","1,640",+28%,28,The Valley,Gated/Family,30m,25m,Emaar Properties,25m,,50,2023,35m,The Valley,900,Mid-Range,,Recently Delivered,0.090140265,6,3,"2,800,000",Twin Villas
Farm Gardens 1,,,"1,100","1,300","1,480","1,640","1,760",+42%,42,The Valley,Gated/Farming,30m,25m,Emaar Properties,25m,,51,2022,35m,The Valley,900,Luxury,,Recently Delivered,0.090499514,6,4,"5,100,000",Villas
Farm Gardens 2,,,,,"1,350","1,550","1,670",+15%,15,The Valley,Gated/Farming,30m,25m,Emaar Properties,25m,,52,2024,35m,The Valley,900,Luxury,,Under Construction / New,0.112221667,6,4,"7,500,000",Villas
The Oasis (Master),,,,"1,500","1,680","1,850","1,960",+25% (Community Avg),25,The Oasis,Resort/Luxury,20m,30m,Emaar Properties,25m,,53,2023,20m,The Oasis,,Unknown,,Recently Delivered,0.08012345,5.5,4.5,Community,Luxury Villas
Palmiera,,,,"1,550","1,830","2,090","2,280",+35%,35,The Oasis,Resort/Luxury,20m,30m,Emaar Properties,25m,,54,2023,20m,The Oasis,,Luxury,,Recently Delivered,0.116199641,5.5,4.5,"8,500,000",Luxury Villas
Marèva 1,,,,,"1,750","2,010","2,170",+18%,18,The Oasis,Resort/Luxury,20m,30m,Emaar Properties,25m,,55,2024,20m,The Oasis,,Luxury,,Under Construction / New,0.113552873,5.5,5,"12,000,000",Luxury Villas
Emaar South (Master),750,790,890,990,"1,080","1,170","1,230",+55% (Since 2020),55,Emaar South,Airport/Golf,5m,45m,Emaar Properties,45m,,57,2016,35m,Emaar South,900,Unknown,,Established,0.067187373,6.5,2.5,Community,Townhouses/Apt
Golf Hills 2,,,,,"1,050","1,180","1,250",+12%,12,Emaar South,Gated/Golf,5m,45m,Emaar Properties,45m,,58,2024,35m,Emaar South,900,Affordable,,Under Construction / New,0.091089451,6.5,3.2,"1,200,000",Apartments
Marèva 2,,,,,"1,800","2,030","2,180",+15%,15,The Oasis,Resort/Luxury,20m,30m,Emaar Properties,25m,,56,2024,20m,The Oasis,,Luxury,,Under Construction / New,0.100504935,5.5,5,"12,500,000",Luxury Villas
Grove Ridge,,,,,"1,450,000","1,200","1,270",+6%,6,Emaar South,Gated/Golf,5m,45m,Emaar Properties,45m,,60,2025,35m,Emaar South,900,Affordable,,Under Construction / New,,6.5,3.5,"1,450,000",Townhouses
Vista Ridge,,,,,"1,100","1,250","1,340",+14%,14,Emaar South,Gated/Golf,5m,45m,Emaar Properties,45m,,59,2024,35m,Emaar South,900,Affordable,,Under Construction / New,0.103712743,6.5,3.2,"1,300,000",Townhouses
Expo Golf Villas,800,870,"1,010","1,150","1,290","1,410","1,500",+75% (Since 2020),75,Emaar South,Gated/Golf,5m,45m,Emaar Properties,45m,,61,2018,35m,Emaar South,900,Affordable,,Established,0.078327732,6.5,2.8,"990,000",Townhouses
Urbana,700,750,860,960,"1,060","1,150","1,220",+60% (Since 2020),60,Emaar South,Gated/Family,5m,45m,Emaar Properties,45m,,62,2016,35m,Emaar South,900,Affordable,,Established,0.0728203,6.5,2.8,"700,000",Townhouses
Expo Living (Master),,,,,"1,200","1,320","1,400",+10%,10,Expo City,Integrated Urban,10m,40m,Emaar Properties,35m,,63,2024,25m,Expo City,,Unknown,,Under Construction / New,0.08012345,6.5,14.5,Community,Apartments
Terra Gardens,,,,,"1,250","1,400","1,500",+12%,12,Expo Living,Integrated Urban,10m,40m,Emaar Properties,35m,,64,2024,25m,Expo Living,,Mid-Range,,Under Construction / New,0.095445115,,15,"1,500,000",Apartments
St. Regis Residences,,,"2,500","2,950","3,390","3,800","4,100",+48%,48,Downtown Dubai,Luxury Urban,35m,15m,Emaar Properties,0m,,65,2022,20m,Downtown,,Mid-Range,,Recently Delivered,0.099745211,,28,"2,100,000",Apartments
Burj Crown,"1,850","2,070","2,440","2,730","3,000","3,240","3,400",+55%,55,Downtown Dubai,High-Rise Urban,35m,15m,Emaar Properties,0m,,66,2020,20m,Downtown,,Mid-Range,,Established,0.064581295,,21,"2,100,000",Apartments
Grande,"1,900","2,060","2,400","2,710","3,010","3,300","3,510",+62% (Since 2020),62,Downtown Dubai,High-Rise Urban,35m,15m,Emaar Properties,0m,,67,2018,20m,Downtown,,Mid-Range,,Established,0.079867101,,22,"1,900,000",Apartments
Act One,Act Two,"1,750","1,890","2,180","2,430","2,690","2,930",+58% (Since 2020),58,Emaar Properties,Apartments,35m,15m,Act Two,0m,,68,2016,20m,Downtown,,Mid-Range,,Established,0.098071636,,"3,110","1,500,000",Downtown Dubai
Palm Jebel Ali,,,,"2,500","3,130","3,760","4,210",+60%,60,Jebel Ali,Island/Luxury,15m,35m,Nakheel,30m,,70,2023,15m,Jebel Ali,900,Unknown,,Recently Delivered,0.159762012,7,5.5,Community,Mixed
Il Primo,"3,500","3,730","4,180","4,590","4,980","5,340","5,630",+40% (Since 2020),40,Downtown Dubai,Ultra-Luxury,35m,15m,Emaar Properties,0m,,69,2016,20m,Downtown,,Luxury,,Established,0.063260123,,35,"18,000,000",Penthouses
Coral Collection,,,,"2,600","3,510","4,390","5,050",+70%,70,Palm Jebel Ali,Island/Luxury,20m,45m,Nakheel,45m,,71,2023,15m,Palm Jebel Ali,,Luxury,,Recently Delivered,0.199477569,5.5,6,"18,500,000",Mansions
Beach Collection,,,,"2,550","3,370","4,110","4,690",+65%,65,Palm Jebel Ali,Island/Luxury,20m,45m,Nakheel,45m,,72,2023,15m,Palm Jebel Ali,,Ultra-Luxury,,Recently Delivered,0.179699705,5.5,6,"20,000,000",Villas
Dubai Islands,,,"1,300","1,500","1,680","1,850","1,980",+50%,50,Dubai Islands,Island/Resort,45m,15m,Nakheel,20m,,73,2022,30m,Dubai Islands,,Unknown,,Recently Delivered,0.085620297,6,3.5,Community,Mixed
Rixos Dubai Islands,,,,"2,200","2,680","3,160","3,480",+42%,42,Dubai Islands,Waterfront/Resort,45m,15m,Nakheel,20m,,74,2023,30m,Dubai Islands,,Mid-Range,,Recently Delivered,0.139520716,6,25,"2,600,000",Branded Apt
Beach Walk Residences,,,,,"2,000","2,360","2,600",+18%,18,Dubai Islands,Waterfront/Resort,45m,15m,Nakheel,20m,,76,2024,30m,Dubai Islands,,Mid-Range,,Under Construction / New,0.140175425,6,20,"2,200,000",Apartments
Bay Villas,,,,,"1,800","2,160","2,400",+20%,20,Dubai Islands,Waterfront/Resort,45m,15m,Nakheel,20m,,75,2024,30m,Dubai Islands,,Mid-Range,,Under Construction / New,0.154700538,6,4.5,"4,500,000",Villas
Palm Jumeirah,"1,800","2,130","3,030","3,710","4,410","5,050","5,530",+120% (Since 2020),120,Palm Jumeirah,Island/Luxury,35m,25m,Nakheel,20m,,77,2001,10m,Palm Jumeirah,,Unknown,,Established,0.11980724,5.5,19.5,Community,Mixed
Como Residences,,,,"5,500","6,880","8,260","9,250",+55%,55,Palm Jumeirah,Island/Luxury,35m,25m,Nakheel,20m,,78,2023,10m,Palm Jumeirah,,Ultra-Luxury,,Recently Delivered,0.159515737,5.5,45,"21,000,000",High-End Apt
Palm Beach Tower 2,,,"2,600","3,120","3,560","3,950","4,230",+45%,45,Palm Jumeirah,Waterfront/Urban,35m,25m,Nakheel,20m,,80,2022,10m,Palm Jumeirah,,Mid-Range,,Recently Delivered,0.090046901,5.5,22,"3,700,000",Apartments
Palm Beach Tower 1,,,"2,500","3,050","3,510","3,930","4,240",+48%,48,Palm Jumeirah,Waterfront/Urban,35m,25m,Nakheel,20m,,79,2022,10m,Palm Jumeirah,,Mid-Range,,Recently Delivered,0.099080164,5.5,22,"3,500,000",Apartments
Palm Beach Tower 3,,,"2,700","3,190","3,570","3,930","4,210",+42%,42,Palm Jumeirah,Waterfront/Urban,35m,25m,Nakheel,20m,,81,2022,10m,Palm Jumeirah,,Mid-Range,,Recently Delivered,0.085942774,5.5,22,"4,200,000",Apartments
The Palm Tower,"2,100","2,430","3,020","3,520","3,980","4,400","4,720",+85% (Since 2020),85,Palm Jumeirah,Mixed-Use,35m,25m,Nakheel,20m,,82,2014,10m,Palm Jumeirah,,Mid-Range,,Established,0.089003971,5.5,35,"2,800,000",Hotel/Residences
Azure Residences,"1,400","1,580","1,870","2,120","2,360","2,570","2,740",+75% (Since 2020),75,Palm Jumeirah,Waterfront/Family,35m,25m,Nakheel,20m,,83,2013,10m,Palm Jumeirah,,Mid-Range,,Established,0.077504965,5.5,18,"1,500,000",Apartments
Club Vista Mare,"1,500","1,700","2,050","2,350","2,640","2,900","3,100",+80% (Since 2020),80,Palm Jumeirah,Waterfront/Leisure,35m,25m,Nakheel,20m,,84,2013,10m,Palm Jumeirah,,Affordable,,Established,0.083624669,5.5,20,"1,200,000",Apartments
Jumeirah Islands,"1,100","1,280","1,700","2,030","2,340","2,630","2,850",+95% (Since 2020),95,Jumeirah Islands,Gated/Inland,25m,25m,Nakheel,20m,,85,2003,10m,Jumeirah Islands,,Unknown,,Established,0.103607139,5,4.5,Community,Villas
Jumeirah Park,"1,000","1,150","1,470","1,730","1,980","2,210","2,390",+88% (Since 2020),88,Jumeirah Park,Gated/Family,25m,25m,Nakheel,20m,,86,2006,10m,Jumeirah Park,,Unknown,,Established,0.098667696,5,4.2,Community,Villas
Al Furjan (Master),850,930,"1,100","1,260","1,420","1,560","1,660",+65% (Since 2020),65,Al Furjan,Suburban/Family,15m,30m,Nakheel,25m,,87,2007,10m,Al Furjan,,Unknown,,Established,0.081209547,7,3.5,Community,Mixed
Tilal Al Furjan,,,"1,100","1,270","1,420","1,560","1,670",+35%,35,Al Furjan,Gated/Family,15m,30m,Nakheel,25m,,88,2022,10m,Al Furjan,,Mid-Range,,Recently Delivered,0.084461312,7,3.8,"3,100,000",Villas
Murooj Al Furjan,,,"1,240","1,410","1,570","1,710","1,810",+42%,42,Al Furjan,Gated/Family,15m,30m,Nakheel,25m,,89,2021,10m,Al Furjan,,Mid-Range,,Established,0.07371609,7,3.8,"2,900,000",Townhouses
Discovery Gardens,650,680,750,810,870,930,970,+40% (Since 2020),40,Discovery Gdns,Low-Rise Family,20m,30m,Nakheel,25m,,90,2004,10m,Discovery Gdns,,Unknown,,Established,0.05590839,,12.5,Community,Apartments
The Gardens,600,630,690,750,810,860,900,+35% (Since 2020),35,The Gardens,Low-Rise Family,,,Nakheel,,,91,2001,,The Gardens,,Unknown,,Established,0.054092553,,12.5,Community,Apartments
Nad Al Sheba Villas,750,840,"1,050","1,240","1,420","1,580","1,710",+90% (Since 2020),90,Nad Al Sheba,Gated/Local,30m,20m,Nakheel,15m,,93,2019,25m,Nad Al Sheba,,Mid-Range,,Established,0.097372021,6,4.5,"2,800,000",Villas
Rixos Financial Center,,,,,"2,800","3,220","3,480",+15%,15,Business Bay,High-Rise Luxury,35m,15m,East & West,5m,,92,2024,20m,Business Bay,,Mid-Range,,Under Construction / New,0.114835029,6.5,32,"2,800,000",Branded Apt
Warsan Village,700,740,830,920,"1,000","1,080","1,140",+55% (Since 2020),55,International City,Suburban/Economy,35m,15m,Nakheel,20m,,94,2013,30m,Int. City,,Mid-Range,,Established,0.067707825,,2.8,"1,600,000",Townhouses
International City,450,470,510,550,590,620,650,+30% (Since 2020),30,International City,Suburban/Economy,35m,15m,Nakheel,20m,,95,2002,30m,Int. City,,Unknown,,Established,0.049616556,,7,Community,Apartments
City Walk (Master),"1,600","1,780","2,180","2,520","2,850","3,160","3,400",+75% (Since 2020),75,City Walk,Urban/Lifestyle,35m,15m,Meraas,5m,,96,2013,20m,City Walk,,Unknown,,Established,0.092237363,6,21,Community,Mixed
Design Quarter d3 Ph 1,,,,"1,900","2,240","2,550","2,780",+32%,32,d3,Urban/Creative,30m,15m,Meraas,5m,,97,2023,20m,d3,,Mid-Range,,Recently Delivered,0.114033854,6.5,20,"1,900,000",Apartments
Design Quarter d3 Ph 2,,,,,"2,100","2,420","2,610",+18%,18,d3,Urban/Creative,30m,15m,Meraas,5m,,98,2024,20m,d3,,Mid-Range,,Under Construction / New,0.114835029,6.5,20,"2,100,000",Apartments
Central Park: Fern,,,"1,800","2,070","2,320","2,550","2,730",+45%,45,City Walk,Urban/Green,35m,15m,Meraas,5m,,99,2022,20m,City Walk,,Mid-Range,,Recently Delivered,0.084769163,6,18,"1,500,000",Apartments
Central Park: Laurel,,,"1,850","2,110","2,340","2,550","2,700",+42%,42,City Walk,Urban/Green,35m,15m,Meraas,5m,,100,2022,20m,City Walk,,Mid-Range,,Recently Delivered,0.074172311,6,18,"1,550,000",Apartments
Central Park: Myrtle,,,"1,750","2,030","2,270","2,500","2,680",+48%,48,City Walk,Urban/Green,35m,15m,Meraas,5m,,101,2022,20m,City Walk,,Affordable,,Recently Delivered,0.08656189,6,18,"1,450,000",Apartments
Central Park: Thyme,,,,"2,100","2,420","2,690","2,880",+30%,30,City Walk,Urban/Green,35m,15m,Meraas,5m,,102,2023,20m,City Walk,,Mid-Range,,Recently Delivered,0.090909091,6,18,"2,100,000",Apartments
Central Park: Erin,,,,"1,950","2,260","2,530","2,730",+35%,35,City Walk,Urban/Green,35m,15m,Meraas,5m,,103,2023,20m,City Walk,,Mid-Range,,Recently Delivered,0.09907443,6,18,"1,600,000",Apartments
City Walk Residences,"1,650","1,830","2,170","2,480","2,790","3,070","3,290",+80% (Since 2020),80,City Walk,Urban/Lifestyle,35m,15m,Meraas,5m,,104,2014,20m,City Walk,,Mid-Range,,Established,0.085915038,6,21,"2,200,000",Apartments
La Sirène,,,"1,900","2,130","2,340","2,550","2,700",+55%,55,Port de La Mer,Waterfront/Resort,35m,20m,Meraas,10m,,106,2021,20m,Port de La Mer,,Mid-Range,,Established,0.074172311,5.5,18,"1,500,000",Apartments
Port de La Mer (Master),"1,500","1,680","2,100","2,490","2,870","3,220","3,490",+95% (Since 2020),95,Jumeirah 1,Waterfront/Resort,35m,20m,Meraas,10m,,105,2018,20m,La Mer,,Unknown,,Established,0.102736539,5.5,19.5,Community,Apartments
La Voile,"1,400","1,550","1,840","2,120","2,410","2,680","2,890",+85% (Since 2020),85,Port de La Mer,Waterfront/Resort,35m,20m,Meraas,10m,,107,2019,20m,Port de La Mer,,Affordable,,Established,0.095066265,5.5,18,"1,400,000",Apartments
La Rive,"1,450","1,610","1,920","2,230","2,550","2,840","3,070",+90% (Since 2020),90,Port de La Mer,Waterfront/Resort,35m,20m,Meraas,10m,,108,2018,20m,Port de La Mer,,Affordable,,Established,0.097233598,5.5,18,"1,350,000",Apartments
Le Pont,"1,480","1,640","1,950","2,250","2,560","2,850","3,080",+88% (Since 2020),88,Port de La Mer,Waterfront/Resort,35m,20m,Meraas,10m,,109,2019,20m,Port de La Mer,,Affordable,,Established,0.096870548,5.5,18,"1,450,000",Apartments
La Cote,"1,500","1,670","2,010","2,340","2,680","3,000","3,250",+95% (Since 2020),95,Port de La Mer,Waterfront/Resort,35m,20m,Meraas,10m,,110,2018,20m,Port de La Mer,,Affordable,,Established,0.10122049,5.5,18,"1,250,000",Apartments
