ID,Project Name,Master Community,Launch Year,Start Price,Appreciation,Developer,Area,Unit Type,Community Type,2020 Price,2021 Price,2022 Price,2023 Price,2024 Price,2025 Price,2026 Price,Service Charge,PPSM,Rental Yield %,File1 Appreciation,DXB Travel Time,DWC Travel Time,Downtown Travel Time,Marina Travel Time,Appreciation_Clean_%,Price_Segment,Projected_CAGR_24_26,Price_Vs_Community_Avg_%,Project_Stage
18,Dubai Creek Harbour,Creek Harbour,2016,Community,+65% (Since 2020),Emaar Properties,Creek Harbour,Apartments,Waterfront/Urban,"1,150","1,220","1,450","1,630","1,800","1,950","2,050",17.5,"1,900",6.0,,15m,35m,10m,25m,,,,,
19,Valo,Creek Harbour,2024,"1,780,000",+14%,Emaar Properties,Creek Harbour,Apartments,Waterfront/Urban,,,,,"1,850","2,110","2,240",18,"1,900",6.0,,15m,35m,10m,25m,,,,,
20,Aeon,Creek Harbour,2024,"1,750,000",+16%,Emaar Properties,Creek Harbour,Apartments,Waterfront/Urban,,,,,"1,900","2,200","2,350",18,"1,900",6.0,,15m,35m,10m,25m,,,,,
21,Oria,Creek Harbour,2024,"1,700,000",+18%,Emaar Properties,Creek Harbour,Apartments,Waterfront/Urban,,,,,"1,950","2,300","2,460",18,"1,900",6.0,,15m,35m,10m,25m,,,,,
22,Mangrove,Creek Beach,2024,"1,480,000",+15%,Emaar Properties,Creek Beach,Apartments,Waterfront/Beach,,,,,"1,650","1,900","2,010",16.5,,,,15m,35m,10m,25m,,,,,
23,Altan,Creek Beach,2023,"1,550,000",+22%,Emaar Properties,Creek Beach,Apartments,Waterfront/Beach,,,,"1,550","1,740","1,910","2,030",16.5,,,,15m,35m,10m,25m,,,,,
24,Silva,Creek Harbour,2024,"1,800,000",+12%,Emaar Properties,Creek Harbour,Apartments,Waterfront/Urban,,,,,"1,750","1,960","2,060",17.5,"1,900",6.0,,15m,35m,10m,25m,,,,,
25,Albero,Creek Harbour,2024,"1,650,000",+14%,Emaar Properties,Creek Harbour,Apartments,Waterfront/Urban,,,,,"1,800","2,050","2,170",17.5,"1,900",6.0,,15m,35m,10m,25m,,,,,
26,Montiva,Creek Harbour,2025,"1,850,000",+6%,Emaar Properties,Creek Harbour,Apartments,Waterfront/Urban,,,,,"1,850,000","1,900","1,980",18,"1,900",6.0,,15m,35m,10m,25m,,,,,
27,Creek Waters 1,Creek Harbour,2023,"1,600,000",+35%,Emaar Properties,Creek Harbour,Apartments,Waterfront/Urban,,,,"1,700","2,010","2,290","2,470",19,"1,900",6.0,,15m,35m,10m,25m,,,,,
28,Creek Waters 2,Creek Harbour,2023,"1,700,000",+32%,Emaar Properties,Creek Harbour,Apartments,Waterfront/Urban,,,,"1,750","2,030","2,270","2,430",19,"1,900",6.0,,15m,35m,10m,25m,,,,,
29,Creek Gate,Creek Harbour,2017,"1,200,000",+70% (Since 2020),Emaar Properties,Creek Harbour,Apartments,Waterfront/Urban,"1,200","1,290","1,490","1,660","1,810","1,950","2,050",16.5,"1,900",6.0,,15m,35m,10m,25m,,,,,
30,Address Grand Creek,Creek Harbour,2023,"2,200,000",+40%,Emaar Properties,Creek Harbour,Serviced Apt,Waterfront/Luxury,,,,"2,200","2,640","3,030","3,300",28,"1,900",6.0,,15m,35m,10m,25m,,,,,
31,Dubai Hills Estate,Dubai Hills,2015,Community,+85% (Since 2020),Emaar Properties,Dubai Hills,Mixed,Master Community,"1,050","1,180","1,470","1,710","1,940","2,150","2,310",15.5,,,,20m,25m,15m,15m,,,,,
32,Park Gate 2,Dubai Hills,2024,"3,300,000",+12%,Emaar Properties,Dubai Hills,Villas,Gated/Green,,,,,"1,650","1,850","1,960",3.5,,,,20m,25m,15m,15m,,,,,
33,Rosehill,Dubai Hills,2024,"3,100,000",+14%,Emaar Properties,Dubai Hills,Apartments,Gated/Green,,,,,"1,700","1,940","2,070",16,,,,20m,25m,15m,15m,,,,,
34,Greencrest,Dubai Hills,2025,"15,000,000",+4%,Emaar Properties,Dubai Hills,Luxury Villas,Golf/Ultra-Luxury,,,,,"15,000,000","2,800","2,940",4.2,,,,20m,25m,15m,15m,,,,,
35,Palace Residences,Dubai Hills,2024,"1,710,000",+20%,Emaar Properties,Dubai Hills,Apartments,Luxury/Golf,,,,,"1,950","2,300","2,510",20,,,,20m,25m,15m,15m,,,,,
36,Vida Residences,Dubai Hills,2024,"1,650,000",+18%,Emaar Properties,Dubai Hills,Apartments,Lifestyle/Golf,,,,,"1,850","2,150","2,320",19.5,,,,20m,25m,15m,15m,,,,,
37,Golf Hillside,Dubai Hills,2024,"1,450,000",+15%,Emaar Properties,Dubai Hills,Apartments,Golf/Green,,,,,"1,750","2,010","2,150",16.5,,,,20m,25m,15m,15m,,,,,
38,Parkland,Dubai Hills,2024,"1,550,000",+14%,Emaar Properties,Dubai Hills,Apartments,Green/Family,,,,,"1,700","1,940","2,070",16.5,,,,20m,25m,15m,15m,,,,,
39,Sidra Villas,Dubai Hills,2015,"3,500,000",+110% (Since 2020),Emaar Properties,Dubai Hills,Villas,Gated/Family,"1,000","1,150","1,500","1,780","2,030","2,260","2,440",3.2,,,,20m,25m,15m,15m,,,,,
40,Maple Townhouses,Dubai Hills,2015,"2,800,000",+105% (Since 2020),Emaar Properties,Dubai Hills,Townhouses,Gated/Family,950,"1,100","1,410","1,650","1,880","2,080","2,230",3.2,,,,20m,25m,15m,15m,,,,,
41,Address Villas Hillcrest,Dubai Hills,2022,"21,000,000",+45%,Emaar Properties,Dubai Hills,Luxury Villas,Gated/Luxury,,,"1,800","2,200","2,600","2,960","3,230",5.5,,,,20m,25m,15m,15m,,,,,
42,The Valley (Master),The Valley,2019,Community,+60% (Since 2020),Emaar Properties,The Valley,Townhouses,Gated/Family,800,860,"1,020","1,170","1,310","1,430","1,520",2.8,900,6.0,,25m,30m,25m,35m,,,,,
43,Velora,The Valley,2024,"2,800,000",+15%,Emaar Properties,The Valley,Townhouses,Gated/Family,,,,,"1,250","1,440","1,540",3,900,6.0,,25m,30m,25m,35m,,,,,
44,Venera,The Valley,2024,"2,950,000",+12%,Emaar Properties,The Valley,Townhouses,Gated/Family,,,,,"1,300","1,460","1,550",3,900,6.0,,25m,30m,25m,35m,,,,,
45,Rivera,The Valley,2024,"4,780,000",+10%,Emaar Properties,The Valley,Townhouses,Gated/Family,,,,,"1,350","1,480","1,550",3.2,900,6.0,,25m,30m,25m,35m,,,,,
46,Avena,The Valley,2024,"4,360,000",+12%,Emaar Properties,The Valley,Townhouses,Gated/Family,,,,,"1,280","1,430","1,520",3,900,6.0,,25m,30m,25m,35m,,,,,
47,Ovelle,The Valley,2024,"7,080,000",+8%,Emaar Properties,The Valley,Townhouses,Gated/Family,,,,,"1,400","1,510","1,570",3.2,900,6.0,,25m,30m,25m,35m,,,,,
48,Avelia,The Valley,2024,"7,250,000",+7%,Emaar Properties,The Valley,Townhouses,Gated/Family,,,,,"1,450","1,550","1,610",3.2,900,6.0,,25m,30m,25m,35m,,,,,
49,Elora,The Valley,2023,"1,600,000",+30%,Emaar Properties,The Valley,Townhouses,Gated/Family,,,,"1,150","1,360","1,520","1,640",3,900,6.0,,25m,30m,25m,35m,,,,,
50,Rivana,The Valley,2023,"2,800,000",+28%,Emaar Properties,The Valley,Twin Villas,Gated/Family,,,,"1,200","1,380","1,530","1,640",3,900,6.0,,25m,30m,25m,35m,,,,,
51,Farm Gardens 1,The Valley,2022,"5,100,000",+42%,Emaar Properties,The Valley,Villas,Gated/Farming,,,"1,100","1,300","1,480","1,640","1,760",4,900,6.0,,25m,30m,25m,35m,,,,,
52,Farm Gardens 2,The Valley,2024,"7,500,000",+15%,Emaar Properties,The Valley,Villas,Gated/Farming,,,,,"1,350","1,550","1,670",4,900,6.0,,25m,30m,25m,35m,,,,,
53,The Oasis (Master),The Oasis,2023,Community,+25% (Community Avg),Emaar Properties,The Oasis,Luxury Villas,Resort/Luxury,,,,"1,500","1,680","1,850","1,960",4.5,"1,600",5.5,,30m,20m,25m,20m,,,,,
54,Palmiera,The Oasis,2023,"8,500,000",+35%,Emaar Properties,The Oasis,Luxury Villas,Resort/Luxury,,,,"1,550","1,830","2,090","2,280",4.5,"1,600",5.5,,30m,20m,25m,20m,,,,,
55,Marèva 1,The Oasis,2024,"12,000,000",+18%,Emaar Properties,The Oasis,Luxury Villas,Resort/Luxury,,,,,"1,750","2,010","2,170",5,"1,600",5.5,,30m,20m,25m,20m,,,,,
56,Marèva 2,The Oasis,2024,"12,500,000",+15%,Emaar Properties,The Oasis,Luxury Villas,Resort/Luxury,,,,,"1,800","2,030","2,180",5,"1,600",5.5,,30m,20m,25m,20m,,,,,
57,Emaar South (Master),Emaar South,2016,Community,+55% (Since 2020),Emaar Properties,Emaar South,Townhouses/Apt,Airport/Golf,750,790,890,990,"1,080","1,170","1,230",2.5,900,6.5,,45m,5m,45m,35m,,,,,
58,Golf Hills 2,Emaar South,2024,"1,200,000",+12%,Emaar Properties,Emaar South,Apartments,Gated/Golf,,,,,"1,050","1,180","1,250",3.2,900,6.5,,45m,5m,45m,35m,,,,,
59,Vista Ridge,Emaar South,2024,"1,300,000",+14%,Emaar Properties,Emaar South,Townhouses,Gated/Golf,,,,,"1,100","1,250","1,340",3.2,900,6.5,,45m,5m,45m,35m,,,,,
60,Grove Ridge,Emaar South,2025,"1,450,000",+6%,Emaar Properties,Emaar South,Townhouses,Gated/Golf,,,,,"1,450,000","1,200","1,270",3.5,900,6.5,,45m,5m,45m,35m,,,,,
61,Expo Golf Villas,Emaar South,2018,"990,000",+75% (Since 2020),Emaar Properties,Emaar South,Townhouses,Gated/Golf,800,870,"1,010","1,150","1,290","1,410","1,500",2.8,900,6.5,,45m,5m,45m,35m,,,,,
62,Urbana,Emaar South,2016,"700,000",+60% (Since 2020),Emaar Properties,Emaar South,Townhouses,Gated/Family,700,750,860,960,"1,060","1,150","1,220",2.8,900,6.5,,45m,5m,45m,35m,,,,,
63,Expo Living (Master),Expo City,2024,Community,+10%,Emaar Properties,Expo City,Apartments,Integrated Urban,,,,,"1,200","1,320","1,400",14.5,"1,300",6.5,,40m,10m,35m,25m,,,,,
64,Terra Gardens,Expo Living,2024,"1,500,000",+12%,Emaar Properties,Expo Living,Apartments,Integrated Urban,,,,,"1,250","1,400","1,500",15,,,,40m,10m,35m,25m,,,,,
65,St. Regis Residences,Downtown,2022,"2,100,000",+48%,Emaar Properties,Downtown Dubai,Apartments,Luxury Urban,,,"2,500","2,950","3,390","3,800","4,100",28,,,,15m,35m,0m,20m,,,,,
66,Burj Crown,Downtown,2020,"2,100,000",+55%,Emaar Properties,Downtown Dubai,Apartments,High-Rise Urban,"1,850","2,070","2,440","2,730","3,000","3,240","3,400",21,,,,15m,35m,0m,20m,,,,,
67,Grande,Downtown,2018,"1,900,000",+62% (Since 2020),Emaar Properties,Downtown Dubai,Apartments,High-Rise Urban,"1,900","2,060","2,400","2,710","3,010","3,300","3,510",22,,,,15m,35m,0m,20m,,,,,
68,Act One,Downtown,2016,"1,500,000",+58% (Since 2020),Act Two,Emaar Properties,Downtown Dubai,Apartments,Act Two,"1,750","1,890","2,180","2,430","2,690","2,930","3,110",,,,15m,35m,0m,20m,,,,,
69,Il Primo,Downtown,2016,"18,000,000",+40% (Since 2020),Emaar Properties,Downtown Dubai,Penthouses,Ultra-Luxury,"3,500","3,730","4,180","4,590","4,980","5,340","5,630",35,,,,15m,35m,0m,20m,,,,,
70,Palm Jebel Ali,Jebel Ali,2023,Community,+60%,Nakheel,Jebel Ali,Mixed,Island/Luxury,,,,"2,500","3,130","3,760","4,210",5.5,900,7.0,,35m,15m,30m,15m,,,,,
71,Coral Collection,Palm Jebel Ali,2023,"18,500,000",+70%,Nakheel,Palm Jebel Ali,Mansions,Island/Luxury,,,,"2,600","3,510","4,390","5,050",6,"1,500",5.5,,45m,20m,45m,15m,,,,,
72,Beach Collection,Palm Jebel Ali,2023,"20,000,000",+65%,Nakheel,Palm Jebel Ali,Villas,Island/Luxury,,,,"2,550","3,370","4,110","4,690",6,"1,500",5.5,,45m,20m,45m,15m,,,,,
73,Dubai Islands,Dubai Islands,2022,Community,+50%,Nakheel,Dubai Islands,Mixed,Island/Resort,,,"1,300","1,500","1,680","1,850","1,980",3.5,"1,600",6.0,,15m,45m,20m,30m,,,,,
74,Rixos Dubai Islands,Dubai Islands,2023,"2,600,000",+42%,Nakheel,Dubai Islands,Branded Apt,Waterfront/Resort,,,,"2,200","2,680","3,160","3,480",25,"1,600",6.0,,15m,45m,20m,30m,,,,,
75,Bay Villas,Dubai Islands,2024,"4,500,000",+20%,Nakheel,Dubai Islands,Villas,Waterfront/Resort,,,,,"1,800","2,160","2,400",4.5,"1,600",6.0,,15m,45m,20m,30m,,,,,
76,Beach Walk Residences,Dubai Islands,2024,"2,200,000",+18%,Nakheel,Dubai Islands,Apartments,Waterfront/Resort,,,,,"2,000","2,360","2,600",20,"1,600",6.0,,15m,45m,20m,30m,,,,,
77,Palm Jumeirah,Palm Jumeirah,2001,Community,+120% (Since 2020),Nakheel,Palm Jumeirah,Mixed,Island/Luxury,"1,800","2,130","3,030","3,710","4,410","5,050","5,530",19.5,"2,500",5.5,,25m,35m,20m,10m,,,,,
78,Como Residences,Palm Jumeirah,2023,"21,000,000",+55%,Nakheel,Palm Jumeirah,High-End Apt,Island/Luxury,,,,"5,500","6,880","8,260","9,250",45,"2,500",5.5,,25m,35m,20m,10m,,,,,
79,Palm Beach Tower 1,Palm Jumeirah,2022,"3,500,000",+48%,Nakheel,Palm Jumeirah,Apartments,Waterfront/Urban,,,"2,500","3,050","3,510","3,930","4,240",22,"2,500",5.5,,25m,35m,20m,10m,,,,,
80,Palm Beach Tower 2,Palm Jumeirah,2022,"3,700,000",+45%,Nakheel,Palm Jumeirah,Apartments,Waterfront/Urban,,,"2,600","3,120","3,560","3,950","4,230",22,"2,500",5.5,,25m,35m,20m,10m,,,,,
81,Palm Beach Tower 3,Palm Jumeirah,2022,"4,200,000",+42%,Nakheel,Palm Jumeirah,Apartments,Waterfront/Urban,,,"2,700","3,190","3,570","3,930","4,210",22,"2,500",5.5,,25m,35m,20m,10m,,,,,
82,The Palm Tower,Palm Jumeirah,2014,"2,800,000",+85% (Since 2020),Nakheel,Palm Jumeirah,Hotel/Residences,Mixed-Use,"2,100","2,430","3,020","3,520","3,980","4,400","4,720",35,"2,500",5.5,,25m,35m,20m,10m,,,,,
83,Azure Residences,Palm Jumeirah,2013,"1,500,000",+75% (Since 2020),Nakheel,Palm Jumeirah,Apartments,Waterfront/Family,"1,400","1,580","1,870","2,120","2,360","2,570","2,740",18,"2,500",5.5,,25m,35m,20m,10m,,,,,
84,Club Vista Mare,Palm Jumeirah,2013,"1,200,000",+80% (Since 2020),Nakheel,Palm Jumeirah,Apartments,Waterfront/Leisure,"1,500","1,700","2,050","2,350","2,640","2,900","3,100",20,"2,500",5.5,,25m,35m,20m,10m,,,,,
85,Jumeirah Islands,Jumeirah Islands,2003,Community,+95% (Since 2020),Nakheel,Jumeirah Islands,Villas,Gated/Inland,"1,100","1,280","1,700","2,030","2,340","2,630","2,850",4.5,"2,000",5.0,,25m,25m,20m,10m,,,,,
86,Jumeirah Park,Jumeirah Park,2006,Community,+88% (Since 2020),Nakheel,Jumeirah Park,Villas,Gated/Family,"1,000","1,150","1,470","1,730","1,980","2,210","2,390",4.2,"2,000",5.0,,25m,25m,20m,10m,,,,,
87,Al Furjan (Master),Al Furjan,2007,Community,+65% (Since 2020),Nakheel,Al Furjan,Mixed,Suburban/Family,850,930,"1,100","1,260","1,420","1,560","1,660",3.5,"1,000",7.0,,30m,15m,25m,10m,,,,,
88,Tilal Al Furjan,Al Furjan,2022,"3,100,000",+35%,Nakheel,Al Furjan,Villas,Gated/Family,,,"1,100","1,270","1,420","1,560","1,670",3.8,"1,000",7.0,,30m,15m,25m,10m,,,,,
89,Murooj Al Furjan,Al Furjan,2021,"2,900,000",+42%,Nakheel,Al Furjan,Townhouses,Gated/Family,,,"1,240","1,410","1,570","1,710","1,810",3.8,"1,000",7.0,,30m,15m,25m,10m,,,,,
90,Discovery Gardens,Discovery Gdns,2004,Community,+40% (Since 2020),Nakheel,Discovery Gdns,Apartments,Low-Rise Family,650,680,750,810,870,930,970,12.5,,,,30m,20m,25m,10m,,,,,
91,The Gardens,The Gardens,2001,Community,+35% (Since 2020),Nakheel,The Gardens,Apartments,Low-Rise Family,600,630,690,750,810,860,900,12.5,,,,,,,,,,,,
92,Rixos Financial Center,Business Bay,2024,"2,800,000",+15%,East & West,Business Bay,Branded Apt,High-Rise Luxury,,,,,"2,800","3,220","3,480",32,"1,800",6.5,,15m,35m,5m,20m,,,,,
93,Nad Al Sheba Villas,Nad Al Sheba,2019,"2,800,000",+90% (Since 2020),Nakheel,Nad Al Sheba,Villas,Gated/Local,750,840,"1,050","1,240","1,420","1,580","1,710",4.5,"1,200",6.0,,20m,30m,15m,25m,,,,,
94,Warsan Village,Int. City,2013,"1,600,000",+55% (Since 2020),Nakheel,International City,Townhouses,Suburban/Economy,700,740,830,920,"1,000","1,080","1,140",2.8,,,,15m,35m,20m,30m,,,,,
95,International City,Int. City,2002,Community,+30% (Since 2020),Nakheel,International City,Apartments,Suburban/Economy,450,470,510,550,590,620,650,7,,,,15m,35m,20m,30m,,,,,
96,City Walk (Master),City Walk,2013,Community,+75% (Since 2020),Meraas,City Walk,Mixed,Urban/Lifestyle,"1,600","1,780","2,180","2,520","2,850","3,160","3,400",21,"2,000",6.0,,15m,35m,5m,20m,,,,,
97,Design Quarter d3 Ph 1,d3,2023,"1,900,000",+32%,Meraas,d3,Apartments,Urban/Creative,,,,"1,900","2,240","2,550","2,780",20,"1,800",6.5,,15m,30m,5m,20m,,,,,
98,Design Quarter d3 Ph 2,d3,2024,"2,100,000",+18%,Meraas,d3,Apartments,Urban/Creative,,,,,"2,100","2,420","2,610",20,"1,800",6.5,,15m,30m,5m,20m,,,,,
99,Central Park: Fern,City Walk,2022,"1,500,000",+45%,Meraas,City Walk,Apartments,Urban/Green,,,"1,800","2,070","2,320","2,550","2,730",18,"2,000",6.0,,15m,35m,5m,20m,,,,,
100,Central Park: Laurel,City Walk,2022,"1,550,000",+42%,Meraas,City Walk,Apartments,Urban/Green,,,"1,850","2,110","2,340","2,550","2,700",18,"2,000",6.0,,15m,35m,5m,20m,42.0,Mid-Range,0.07417231105914923,,Established
101,Central Park: Myrtle,City Walk,2022,"1,450,000",+48%,Meraas,City Walk,Apartments,Urban/Green,,,"1,750","2,030","2,270","2,500","2,680",18,"2,000",6.0,,15m,35m,5m,20m,,,,,
102,Central Park: Thyme,City Walk,2023,"2,100,000",+30%,Meraas,City Walk,Apartments,Urban/Green,,,,"2,100","2,420","2,690","2,880",18,"2,000",6.0,,15m,35m,5m,20m,,,,,
103,Central Park: Erin,City Walk,2023,"1,600,000",+35%,Meraas,City Walk,Apartments,Urban/Green,,,,"1,950","2,260","2,530","2,730",18,"2,000",6.0,,15m,35m,5m,20m,,,,,
104,City Walk Residences,City Walk,2014,"2,200,000",+80% (Since 2020),Meraas,City Walk,Apartments,Urban/Lifestyle,"1,650","1,830","2,170","2,480","2,790","3,070","3,290",21,"2,000",6.0,,15m,35m,5m,20m,,,,,
105,Port de La Mer (Master),La Mer,2018,Community,+95% (Since 2020),Meraas,Jumeirah 1,Apartments,Waterfront/Resort,"1,500","1,680","2,100","2,490","2,870","3,220","3,490",19.5,"2,200",5.5,,20m,35m,10m,20m,,,,,
106,La Sirène,Port de La Mer,2021,"1,500,000",+55%,Meraas,Port de La Mer,Apartments,Waterfront/Resort,,,"1,900","2,130","2,340","2,550","2,700",18,"2,200",5.5,,20m,35m,10m,20m,,,,,
107,La Voile,Port de La Mer,2019,"1,400,000",+85% (Since 2020),Meraas,Port de La Mer,Apartments,Waterfront/Resort,"1,400","1,550","1,840","2,120","2,410","2,680","2,890",18,"2,200",5.5,,20m,35m,10m,20m,,,,,
108,La Rive,Port de La Mer,2018,"1,350,000",+90% (Since 2020),Meraas,Port de La Mer,Apartments,Waterfront/Resort,"1,450","1,610","1,920","2,230","2,550","2,840","3,070",18,"2,200",5.5,,20m,35m,10m,20m,,,,,
109,Le Pont,Port de La Mer,2019,"1,450,000",+88% (Since 2020),Meraas,Port de La Mer,Apartments,Waterfront/Resort,"1,480","1,640","1,950","2,250","2,560","2,850","3,080",18,"2,200",5.5,,20m,35m,10m,20m,,,,,
110,La Cote,Port de La Mer,2018,"1,250,000",+95% (Since 2020),Meraas,Port de La Mer,Apartments,Waterfront/Resort,"1,500","1,670","2,010","2,340","2,680","3,000","3,250",18,"2,200",5.5,,20m,35m,10m,20m,,,,,
111,Sur La Mer,Port de La Mer,2019,"4,200,000",+110% (Since 2020),Meraas,Port de La Mer,Townhouses,Waterfront/Luxury,"1,800","2,070","2,740","3,350","3,970","4,530","5,010",5.5,"2,200",5.5,,20m,35m,10m,20m,,,,,
112,Madinat Jumeirah Living,MJL,2018,Community,+100% (Since 2020),Meraas,Jumeirah,Apartments,Pedestrian/Resort,"1,550","1,790","2,340","2,820","3,290","3,730","4,080",18,"2,200",6.0,,20m,30m,15m,10m,,,,,
113,Riwa,MJL,2024,"2,300,000",+12%,Meraas,MJL,Apartments,Pedestrian/Resort,,,,,"2,300","2,580","2,730",19,"2,200",6.0,,20m,30m,15m,10m,,,,,
114,Jadeel,MJL,2022,"1,600,000",+48%,Meraas,MJL,Apartments,Pedestrian/Resort,,,"1,700","2,010","2,310","2,590","2,800",18,"2,200",6.0,,20m,30m,15m,10m,,,,,
115,Lamaa,MJL,2022,"1,650,000",+45%,Meraas,MJL,Apartments,Pedestrian/Resort,,,"1,750","2,030","2,310","2,560","2,740",18,"2,200",6.0,,20m,30m,15m,10m,,,,,
116,Jomana,MJL,2023,"1,900,000",+30%,Meraas,MJL,Apartments,Pedestrian/Resort,,,,"1,900","2,240","2,550","2,780",18,"2,200",6.0,,20m,30m,15m,10m,,,,,
117,Rahaal,MJL,2018,"1,300,000",+110% (Since 2020),Meraas,MJL,Apartments,Pedestrian/Resort,"1,500","1,740","2,290","2,790","3,280","3,730","4,110",17.5,"2,200",6.0,,20m,30m,15m,10m,,,,,
118,Asayel,MJL,2019,"1,400,000",+105% (Since 2020),Meraas,MJL,Apartments,Pedestrian/Resort,"1,450","1,670","2,170","2,620","3,040","3,430","3,760",17.5,"2,200",6.0,,20m,30m,15m,10m,,,,,
119,The Acres Phase 1,Dubailand,2023,"5,090,000",+25%,Meraas,Dubailand,Villas,Nature/Gated,,,,"1,250","1,440","1,610","1,740",4.2,"1,000",7.0,,25m,25m,25m,25m,,,,,
120,The Acres Phase 2,Dubailand,2024,"5,350,000",+15%,Meraas,Dubailand,Villas,Nature/Gated,,,,,"1,350","1,510","1,620",4.2,"1,000",7.0,,25m,25m,25m,25m,,,,,
121,NAS Gardens Ph 1,Nad Al Sheba,2022,"4,200,000",+40%,Meraas,Nad Al Sheba,Villas,Gated/Family,,,"1,200","1,420","1,620","1,800","1,940",4.5,"1,200",6.0,,20m,30m,15m,25m,,,,,
122,NAS Gardens Ph 2,Nad Al Sheba,2023,"4,500,000",+32%,Meraas,Nad Al Sheba,Villas,Gated/Family,,,,"1,250","1,450","1,620","1,730",4.5,"1,200",6.0,,20m,30m,15m,25m,,,,,
