prefix_len,prefix,count,sample_normalized
3,910,2456,910909
3,312,2456,312020
3,112,2452,112220
3,563,2428,563611622
3,967,2423,96759205
3,444,2419,44493021
3,101,2374,101291
3,262,2347,262000
3,190,2347,19053304788
3,362,2345,36203112328
3,161,2342,161985
3,527,2340,527811888
3,796,2320,79629546561
3,433,2316,43359584
3,133,2310,13345572502
3,102,2296,102019
3,346,2293,34690305849
3,250,2288,250788501043
3,242,2285,242722786500
3,181,2267,18134743193
3,033,2265,03332510667
3,331,2263,33170011
3,798,2229,79857624292
3,398,2209,398735277
3,443,2202,443911774
3,569,2187,569844874
3,185,2161,18516180084
3,400,2154,400007
3,256,2154,256772581025
3,860,2153,8605768030099
3,500,2148,500022030
3,394,2145,39466499
3,325,2140,32566634243
3,450,2102,4509290
3,311,2093,31140522
3,994,2080,994558950520
3,348,2079,34858425
3,230,2052,23000000000
3,134,2049,13472729520
3,287,2044,28780676
3,272,2041,27218555258
3,226,2027,226129
3,565,2026,565573541
3,488,2017,48821848
3,925,2015,92554016351
3,937,2014,93700805019
3,032,2007,03229211234
3,116,2005,1161605
3,977,1983,9779818067421
3,523,1966,523275210
3,322,1953,3226770956
3,947,1953,94772200486
3,160,1928,16048768769
3,232,1907,232305
3,285,1889,285222204
3,128,1884,12899800149
3,749,1879,74959358200
3,026,1853,026437979
3,214,1826,214100
3,171,1800,17143004780
3,601,1795,601112820922
3,114,1791,1141574648
3,132,1788,13263181668
3,343,1764,343474704
3,332,1756,332211
3,525,1744,525567069894
3,107,1741,1079809949
3,177,1740,17778355
3,170,1712,170455
3,152,1696,152020
3,519,1692,5191904
3,349,1657,349949274
3,410,1648,410786534061
3,407,1646,4077866
3,334,1618,334587804
3,252,1615,252633504522
3,338,1603,33826754
3,589,1602,589505102
3,054,1601,0544740868
3,189,1585,18901388820
3,434,1578,43446903
3,040,1566,0404440
3,211,1519,2115018
3,158,1516,15862879923
3,521,1515,52125729
3,710,1515,710611474
3,448,1491,44816574
3,291,1487,29177794
3,183,1480,18328933330
3,216,1477,2164281100
3,416,1477,41617950
3,352,1462,352691341431
3,306,1458,306941537004
3,345,1446,3452666
3,276,1441,276597
3,243,1432,243817518798
3,373,1428,37369296454
3,363,1417,363610
3,668,1404,66866242145
3,288,1403,2880156115
3,911,1396,91166870
3,435,1394,43592892
3,224,1394,224743
3,634,1392,6343140
3,313,1366,313026581
3,197,1346,19726853461
3,390,1330,390500904
3,045,1326,045499410552398
3,047,1322,047031111
3,223,1314,2233445
3,020,1314,0201111492932
3,821,1305,821095551678
3,172,1299,17272408789
3,263,1286,263774935195
3,124,1282,1242401
3,351,1281,3519205551
3,515,1279,515500
3,292,1274,292906
3,639,1271,639213156901
3,282,1268,282804
3,237,1267,2370708
3,644,1258,64492204
3,241,1258,24150000
3,915,1254,91509867621
3,156,1252,15643820
3,319,1238,3191905
3,175,1231,175369131
3,996,1230,996596695021
3,368,1214,368269904
3,261,1212,261320720840
3,289,1211,2899319
3,452,1206,452783095
3,010,1191,01001719102
3,142,1189,142019
3,265,1181,26547615
3,421,1163,42146052
3,360,1158,360733004
3,795,1156,7956842387
3,750,1150,7504959358
3,198,1144,198474
3,271,1143,2713585
3,279,1143,279199380
3,318,1138,318833304
3,420,1135,42011111
3,153,1129,15330258385
3,970,1122,970599310552
3,522,1121,5220713595
3,235,1120,2350000000000
3,371,1120,37125944534
3,115,1109,115146606167
3,454,1108,454553277737
3,340,1099,340029304
3,314,1096,314000
3,113,1076,113648952
3,916,1065,916205161388
3,302,1065,302109490279
3,374,1062,374652704
3,347,1062,347368804
3,192,1056,19206602423
3,335,1054,33510728
3,058,1048,0586487318
3,568,1023,568420124
3,125,1019,12518953498
3,323,1013,3232477223317
3,912,1004,912266661166
3,188,1001,18896392
3,317,993,3171705
3,530,993,5305240
3,383,992,383952
3,218,990,218923812763
3,358,987,35808124749431
3,537,982,53715016
3,381,981,381641078185
3,162,979,16268610264
3,126,975,126480534
3,071,973,071985
3,227,971,22796077171
3,963,968,963958208677
3,163,957,16308541936
3,359,952,359689793
3,301,950,3014843874
3,524,950,524832373
3,642,948,642292109
3,810,944,8100000000
3,423,941,42349243
3,165,933,16586143
3,220,930,220926
3,203,924,2032416
3,269,918,269157504
3,391,916,3911111
3,034,911,03420993336
3,432,907,43246383
3,881,901,8814930
3,229,885,2294105706
3,182,882,18211011750
3,438,881,43801180
3,474,879,4740056264
3,544,878,544044623
3,616,878,6163451
3,303,877,30333476
3,159,872,15910977787
3,426,864,42653040
3,992,853,992374326
3,987,850,98799511
3,217,847,21779347
3,451,846,451202
3,666,843,66615404
3,145,843,1455738860
3,662,838,6621880
3,382,837,3828765759
3,021,837,02134986504
3,195,831,195203
3,072,828,072686
3,429,824,4293448
3,511,823,511700
3,180,814,18038334533
3,240,812,24012801
3,127,811,1272000
3,367,809,367466104
3,819,805,8190000000
3,975,804,97555814415
3,119,801,1191901
3,375,799,375333503723
3,268,795,26815800
3,651,792,6512262050
3,490,791,4901712860388
3,228,786,228224270
3,645,785,6450190
3,414,784,414103
3,786,782,78632459690
3,320,780,320477599525
3,494,775,494371896088
3,355,775,3552413
3,455,758,455487
3,655,753,65569983
3,550,751,55060026
3,025,751,0254700024755
3,453,749,4531259598
3,541,748,541132931
3,981,748,9810097506
3,772,746,7722295
3,789,742,7899045212
3,342,740,342105404
3,280,738,280565285
3,236,731,2366481873
3,090,731,0900200902
3,024,728,02433818845790
3,174,722,17460002
3,146,716,1466911363
3,627,714,6272020
3,258,711,258820208291
3,983,708,98323255
3,257,704,25776100010
3,357,702,35799808862
3,456,701,4560153443
3,545,699,5454545
3,079,698,07970473514
3,779,698,7798186956
3,184,698,18401562111
3,427,697,42737511
3,270,697,270827416870
3,341,693,34161872
3,988,686,988871017
3,479,685,4791709254
3,157,680,157335
3,143,678,14379918538
3,267,676,26775259099
3,611,675,611343
3,231,674,231770492194
3,624,674,62408818
3,929,673,929544366
3,460,672,460701
3,173,672,1733457966
3,395,671,3956566
3,295,668,2950664538
3,196,666,196619714
3,296,665,2967519411
3,428,664,42833139
3,118,662,1181801
3,167,661,16714821071
3,067,660,0672763
3,625,659,62500641
3,888,658,888827
3,144,658,1444401
3,900,657,9005339382787
3,219,657,2191902
3,543,652,543019696
3,797,650,797771750
3,470,649,47081561
3,457,649,4578178
3,449,642,449999994
3,653,633,65309588
3,129,633,1292684415
3,193,630,1931773324
3,208,630,2086808800
3,356,627,35699987279
3,654,626,65432538
3,080,625,08096493021
3,372,623,37256812252
3,046,616,046014421
3,206,616,2068666
3,673,607,6738749991
3,585,607,5850345
3,060,605,0606530623
3,660,602,66000950
3,386,602,3868810385
3,155,599,1552779342
3,253,593,2538076
3,187,588,18780400302
3,626,587,6262371
3,669,587,66947804
3,588,586,588898957
3,370,582,370719
3,913,581,91339359
3,641,579,641010101010
3,412,576,41245441
3,573,572,5735709
3,793,572,7936191930
3,955,568,95568093
3,246,568,24615702
3,799,560,799104555
3,176,559,17607107066
3,446,559,446612579776
3,647,555,6478216444
3,415,555,4150000
3,070,554,070977
3,154,553,154681147
3,194,552,1946039288
3,516,543,516023
3,437,541,43757522
3,853,538,85362835115
3,581,538,581980144
3,092,534,092475
3,600,533,600700
3,960,533,9609675276
3,803,530,8039668405
3,995,529,995599954315
3,273,529,273401
3,205,528,2055402722
3,887,525,8871234
3,339,524,33933462
3,883,523,88339970
3,397,523,3972003
3,037,521,0375016
3,148,521,14802090827
3,716,521,71609810
3,365,520,365280704
3,631,518,631123
3,818,517,8189499999
3,481,517,48141111
3,771,515,7711085660
3,781,514,781980
3,109,513,1090256929
3,425,512,42594415
3,832,510,8324886057
3,985,507,9850000000
3,612,504,6128407
3,366,503,3663593
3,286,498,2861287751
3,404,497,404864868
3,104,496,1042321552
3,909,494,9095271044
3,532,488,5326341938
3,879,487,87984270
3,892,478,8929028007
3,077,474,0771063286
3,980,473,9809121228522
3,778,468,7780007
3,570,467,570000
3,464,465,46442633
3,248,464,248622163
3,652,461,65263000
3,535,461,535005026
3,914,457,91469609
3,354,457,354452868
3,560,454,560560500
3,802,453,8029504061
3,734,452,73472734372
3,986,450,98698539
3,053,450,0536391629
3,661,450,66112313
3,512,450,51269221
3,238,449,2389684
3,657,448,65770441
3,741,447,741109
3,700,446,700900
3,663,439,66339167
3,533,437,533634553
3,308,436,308322
3,984,435,9846617
3,247,434,2477121
3,492,430,49237836
3,851,429,8519870742
3,664,429,6643905585
3,776,425,7760225624
3,480,424,48094000
3,621,421,6212122
3,096,419,096696163
3,667,417,6674710
3,630,416,6309266813438
3,884,416,8844775566
3,245,416,245554561265
3,108,414,1082024
3,329,414,3298343
3,487,411,48706150
3,714,411,714183050
3,787,408,7879650515
3,297,403,297079304
3,582,400,582244692
3,695,400,6954822
3,903,399,9030000000
3,857,399,8573237
3,147,399,147178162
3,784,398,7847470847
3,646,398,64695035
3,999,396,9999999
3,495,395,495962
3,105,394,10501800775
3,665,392,6652323
3,031,391,031790
3,424,391,42496300
3,939,385,939300005
3,858,384,85867447517
3,547,384,547596134
3,304,379,3042308
3,385,375,38566033
3,326,372,32665322236
3,166,370,1661000
3,387,370,38765578108
3,926,367,926479968442
3,921,366,92135360214
3,022,366,0225533
3,274,366,2746608
3,990,366,990945
3,431,360,43197799
3,622,359,6222228
3,993,358,99365703010
3,471,358,471516500
3,830,357,830001
3,411,356,41166220
3,281,356,2817777065
3,730,356,730615655
3,902,355,90222289
3,834,353,83433479
3,327,353,3272707
3,620,352,62082146089023
3,859,351,8596270
3,485,350,48516968
3,204,349,2046688
3,732,347,73272642877
3,536,344,5364858391
3,944,343,944266113
3,882,342,8824268
3,486,342,48602317594
3,459,342,4598453
3,870,341,870525
3,093,338,093635117
3,674,337,67443374
3,209,335,209912212402
3,307,333,30704977
3,199,331,199970
3,389,329,3892424
3,496,329,496975912078
3,377,327,377910
3,546,326,546646629
3,284,325,284721
3,889,323,8899016
3,538,320,5389080
3,679,319,6799907361
3,078,317,07884229
3,520,317,520668
3,931,316,931300586
3,613,311,6139888
3,928,307,92808088
3,633,307,633360319
3,856,304,8565445
3,063,304,063236
3,066,303,066086830
3,788,302,788185289
3,290,300,29061985
3,396,300,3969933
3,379,300,3798139
3,742,298,74226161
3,698,296,698745526
3,632,296,63253615
3,927,296,927975727
3,392,295,39287067051
3,735,294,735531124
3,603,293,60378779911
3,239,291,2393905
3,493,291,493423453
3,012,290,012345
3,168,287,1681976555
3,806,286,8060000000
3,057,286,0572727659
3,694,285,6946295
3,703,284,70397268
3,942,282,9425085454
3,800,280,8002511
3,458,278,458732
3,405,278,405214500
3,959,277,9592010814
3,402,277,402825304
3,721,276,72182601111
3,149,275,149405
3,709,274,7090000000
3,850,274,85006968
3,106,272,106047718781
3,643,269,6435188
3,766,268,766667
3,583,268,583299266
3,061,268,061000
3,935,267,9353289263
3,617,265,6175941032
3,572,263,572002
3,571,263,571010101010
3,549,261,549113096480
3,598,258,598990049
3,808,257,8080000000
3,855,257,855975550937
3,936,254,936646552
3,403,252,403677425
3,890,252,8903888
3,807,251,8078011918
3,294,251,294827304
3,954,249,954019149
3,587,249,5877843867
3,401,248,401719367
3,074,246,07462290991
3,283,244,2833279
3,690,243,690557302
3,743,243,743724736
3,531,243,531488888
3,514,242,5143585888
3,618,242,6188788
3,369,241,369545304
3,384,241,3842334
3,399,240,3991113
3,075,238,07551001
3,408,237,4083821568
3,699,235,6996594460233
3,979,234,97954440
3,930,234,93008432929
3,629,234,62902306
3,041,231,0414611508
3,701,230,7014633054
3,794,228,7949165575
3,328,227,3288931
3,635,227,63523100
3,207,227,2072243
3,715,226,71504946968
3,595,226,5957808
3,591,225,591348520502245
3,707,224,7072028
3,932,224,93211471
3,482,224,48236304
3,623,224,623817828
3,542,223,542680913
3,475,223,4754961
3,940,221,940773930670
3,098,221,09873335399
3,773,221,7736059
3,805,220,8053801
3,751,219,7517106
3,774,218,77487538
3,677,218,677822102
3,747,217,7472794
3,418,217,418606
3,364,216,3646403
3,712,216,7128887
3,497,215,497794756635
3,722,215,722004
3,941,213,94112360608
3,413,213,4131301
3,376,210,3766849999
3,011,208,011975
3,275,208,27506556166
3,871,206,8718489
3,906,205,9060000000
3,540,203,540649363
3,723,203,7235144
3,473,202,4738386
3,305,201,3054611346
3,461,201,46126797281
3,891,201,8913905810763
3,035,199,0358912028100
3,815,198,8150000000
3,933,198,93396854
3,817,196,8170000000
3,785,196,7852970010
3,615,196,6157511
3,498,196,498516739
3,953,196,95333387
3,017,195,01752270026
3,599,195,599323434
3,757,195,757575
3,548,194,548713947
3,811,193,8110000000
3,969,193,96930120
3,577,193,57754221
3,801,192,8011981108
3,950,192,95003199
3,729,191,7291509
3,602,191,602620711
3,499,190,4992797
3,062,188,062052806095
3,609,188,609370593
3,697,188,697989
3,728,188,728613
3,576,187,576878
3,733,187,7338553367
3,604,185,6045626291
3,606,184,606034
3,517,184,5178039528
3,843,179,8438347662
3,748,179,7485538
3,469,179,4694839
3,739,179,739491790
3,014,179,014016774
3,820,178,82009102
3,727,178,727773093
3,298,178,2983601
3,670,177,67011555
3,681,176,6816945
3,744,176,7448347382
3,876,175,876698
3,783,175,7831357408
3,765,175,7655328997
3,692,175,692262670514
3,958,174,958216600
3,419,173,41916482389
3,873,172,8734691
3,675,171,67508716
3,513,171,513342656
3,702,170,7020000000
3,091,170,091268541
3,760,170,760999103
3,706,169,7065949183
3,949,169,9492774976
3,978,166,97892637
3,594,166,594644757
3,745,165,7454278387
3,696,164,696751428
3,809,163,8099449654
3,682,163,6822704
3,693,163,6936656132
3,593,162,593995130384
3,484,161,4844184
3,309,160,3099650220
3,854,158,85418439
3,466,157,46652323
3,259,157,2598763
3,584,157,58408799
3,720,156,72068666
3,575,156,5757302
3,813,154,81355375883
3,704,152,7040000000
3,378,152,378971559339660
3,754,151,7545338062
3,293,151,293560
3,822,148,82260620
3,685,148,685128
3,829,147,82996960
3,885,147,8857676
3,826,146,82614377657
3,534,146,534566222
3,596,146,596596356455
3,849,146,84959203736
3,059,144,0595452967
3,028,143,028835053
3,738,143,7386703690
3,592,142,5921364258
3,767,141,767533672
3,780,140,7805662293
3,649,139,6497790
3,015,139,015146498224
3,901,138,901219
3,759,137,7595512460
3,736,137,736101331
3,691,136,6913333
3,051,136,05111998
3,814,135,8141942818
3,761,135,7614664
3,896,133,896008
3,472,133,4722101
3,848,132,848000
3,462,131,4626911
3,823,129,823722491
3,465,129,465678396
3,844,129,8446222250
3,724,128,72433128
3,908,127,9088635608
3,845,127,8451837
3,991,126,9912451201
3,956,126,9565789
3,878,125,878787
3,782,125,7820777
3,388,123,388691
3,737,123,7379289
3,746,122,7469972262
3,945,121,94598480
3,769,121,769162
3,409,121,409677771
3,816,120,8166327916
3,٠٥٠,120,٠٥٠٦٨٦٠٩٩٠
3,731,120,731555777
3,406,120,406060767
3,597,117,597640036
3,686,117,68614400
3,755,113,75538790
3,463,113,4630000000
3,678,112,6786547
3,586,111,58689286
3,539,111,5391868
3,775,109,77514345
3,763,108,7636483
3,705,108,7054045
3,099,108,099999
3,874,107,87428940
3,708,107,708012
3,951,105,951401064
3,897,104,8978403944
3,804,102,8040000000
3,489,102,48994837
3,952,101,952658984
3,752,100,7526372526
3,836,99,83661547
3,672,97,67205888
3,824,97,8248541398
3,640,97,6403941
3,477,96,47704568930
3,893,95,8930497520
3,483,94,4837717
3,831,94,83114818
3,997,94,99752609
3,957,93,9578128
3,812,93,8121077778
3,468,93,4687737
3,904,92,90478379
3,719,92,71919810529775
3,948,92,9483600
3,753,92,753353303
3,574,92,57408390
3,680,92,68031703
3,683,90,683605613
3,847,89,8475053275
3,023,89,0239440
3,846,88,84655445787888
3,898,88,8988411
3,095,88,0958711882
3,590,88,5902329
3,688,87,688337369
3,476,86,4764632
3,637,86,6373088
3,764,85,7648344
3,671,85,6715903
3,049,85,0491725205656
3,073,84,073000
3,478,83,4781462
3,717,83,717654747
3,684,83,6844245
3,835,81,8351888
3,036,81,03644037391
3,016,81,016306150623
3,740,81,7401230031
3,938,80,93802206
3,872,80,87242990
3,٠١٢,80,٠١٢٧٧٧١٧٥٨
3,027,80,02762317336
3,934,78,9341277
3,841,77,84171751992
3,083,77,0837458693
3,877,76,87754982289
3,711,76,7111989
3,875,76,8759680
3,648,76,648564932
3,064,75,0641879376
3,636,74,63608862
3,038,74,0380503284923
3,758,73,7587227
3,580,72,5800569678
3,607,71,607608
3,827,70,82782000
3,608,68,6087777
3,976,67,97619122
3,٠٧٩,66,٠٧٩٩٤٣٩٠٨٨
3,٠٠٩,64,٠٠٩٦٦٥٠٥٦٣٢٢٢٨
3,842,63,8420196887
3,689,62,6891436
3,894,61,8946173999
3,076,61,0767533672
3,039,59,03957674
3,838,59,8383983
3,762,58,762120623
3,٠١٠,58,٠١٠٠١٦٢٤٦٤٨
3,638,58,6387882
3,726,56,72613370
3,718,56,718500
3,943,54,9431466544
3,013,53,0133477066
3,825,53,8252320
3,579,52,5798844
3,756,51,7569756
3,768,51,7687466
3,828,50,82880806
3,833,50,8338234
3,086,48,086000000
3,725,47,7250415
3,907,44,9076323100
3,068,44,0686159
3,713,44,713100
3,081,42,08122647080
3,082,42,0820573826
3,687,41,6870034
3,605,38,6053100
3,018,38,01804179
3,840,34,8409358
3,087,32,08716977004478
3,837,32,837458693
3,899,31,8991111
3,029,31,029718
3,085,30,0857215581
3,578,30,578306071
3,094,30,094456
3,946,28,9460601
3,٠٥٥,28,٠٥٥٦٤٧١٩٣٧
3,839,27,8393302
3,٠٠٢,20,٠٠٢٠١١٥٧٩٤٢٦٧١
3,895,20,8956166626
3,019,20,01952630086
3,089,19,089560
3,٠٧٨,16,٠٧٨٦٤١٨٢٢٨
3,٠٦٩,15,٠٦٩٥٧٩٠٨٨٨
3,084,12,08421000
3,٦٦٠,8,٦٦٠٠٠٧٨١
3,069,8,0696751428
3,٩٦٦,8,٩٦٦٥٥٥٠٢٩٣٠٧
3,٩٩٨,6,٩٩٨٨٩٨٨٦
3,١00,6,١00966505458184
3,088,4,088000
4,9715,1440978,971501055655
4,9710,219320,97105528005403
4,2019,186078,2019010200
4,9665,164063,966544290290
4,2018,161185,2018111700
4,2020,150241,2020010800
4,2017,116948,20170410
4,8610,70476,8610123456780
4,9714,64547,97144216999
4,8613,63908,8613022263377
4,2348,55909,2348037155010
4,8621,40647,862165075552
4,9230,40245,923008241747
4,0506,32935,0506558704
4,8675,32498,8675527436916
4,8657,30373,8657100000000
4,2016,29129,201610
4,1000,26698,1000000000
4,4479,26224,447961696999
4,9659,22668,96599860322
4,9198,22525,919820632220
4,9233,20035,923332132425
4,9232,19972,923219498286
4,0504,18267,0504620050
4,4477,17824,447749288999
4,8620,17071,862087377907
4,9627,16971,962798206206
4,4478,16920,447876433464
4,9745,16845,97450917578
4,9660,16041,9660551948459
4,9689,15857,96891405750
4,8651,15681,8651265550488
4,0505,14747,0505010459
4,8659,13600,865921666922
4,2015,13310,2015070116
4,9656,12566,96566073106
4,8653,12563,865388688917
4,5065,12044,506525844
4,2347,11700,2347036499851
4,9199,11528,919981399047
4,2025,11129,2025458
4,9716,11033,9716451086
4,1912,10252,19122018
4,2000,10031,200000
4,9891,9643,989121725137
4,8869,9620,886953186836
4,0507,9376,0507952482
4,9733,9266,97337778969
4,4407,8670,4407798690454
4,4474,8383,447463647867
4,0508,8376,0508102276
4,5045,8375,504536789
4,5180,8284,518030
4,6763,8264,6763897
4,0439,8230,043972444
4,2012,8129,201270255546
4,9234,7965,923461607137
4,4420,7784,442087494433
4,0503,7586,050333222
4,2010,7196,201091950280
4,0502,7136,0502954375
4,8628,7122,862885565681
4,9719,7102,97195957951
4,9647,7100,9647504450243
4,8631,7093,8631187205370
4,5055,7016,505585702
4,6192,6970,619202200
4,9712,6916,97125910107
4,5064,6914,506448097
4,9221,6776,92215845578
4,1647,6555,16478898440
4,9711,6550,9711003874
4,9655,6538,965538
4,4475,6408,447595174928
4,8625,6294,862586611494
4,8676,6253,867692967646
4,0555,6239,0555585190
4,8615,6191,8615058677388
4,0436,6175,043685555
4,9717,6104,9717037837
4,8529,6103,85290158802
4,0501,6092,0501328392
4,4917,6012,491726235076
4,8627,5716,862787588000
4,8637,5706,8637051
4,5062,5649,506253107
4,9713,5597,9713152758
4,0509,5501,0509076134
4,8622,5456,862224011250
4,9194,5276,919414495775
4,8673,5252,867313651586
4,8522,5217,85228844
4,8618,5162,8618664775453
4,9197,5042,919739566577
4,2340,4858,23408025056152
4,3100,4818,310012
4,9743,4786,97433120089
4,9231,4770,923124336173
4,8641,4721,8641916482389
4,0300,4710,03000281373
4,0556,4673,0556836682
4,0422,4613,042233411
4,8655,4586,8655456810810
4,0433,4565,043381779
4,9203,4351,9203444444381
4,2001,4246,2001128904653
4,9196,4202,919646691971
4,9661,4170,966112791995
4,0566,4066,0566562294
4,8623,4015,8623562356000
4,0434,3960,043410517
4,1416,3923,14168271966
4,9821,3892,98218433
4,2449,3886,244923610936
4,0559,3846,0559232465
4,1797,3827,1797231
4,9195,3736,919544024091
4,0551,3620,055152725
4,9613,3618,9613231190
4,1173,3618,11739455
4,4390,3610,43903333
4,8677,3596,867712809925
4,9746,3573,97466670881
4,9242,3570,92425752522
4,0552,3570,0552986262
4,8629,3556,862982091021
4,7701,3502,77017777210
4,0558,3454,0558807956
4,1690,3451,16903998
4,0435,3443,043593591
4,5044,3369,504458698
4,9053,3346,905308346059
4,2011,3335,201173
4,2499,3335,249908377787
4,2547,3328,254720675575
4,0554,3287,0554544126
4,0557,3274,0557777281
4,5555,3260,555505349
4,2100,3245,210008
4,2349,3211,2349098927605
4,0488,3135,048873890
4,0561,3094,0561631431
4,0971,3056,0971506413546
4,9718,3025,971866799525
4,8624,2964,862425692034
4,9720,2952,97200000000
4,8801,2895,8801771727871
4,0562,2878,0562265781
4,9190,2862,919096713067
4,0553,2852,0553864056
4,8679,2821,867940033
4,1391,2800,13911058576
4,0529,2798,0529954588
4,3610,2782,361006
4,9188,2774,918800257540
4,5063,2753,506343577
4,6100,2749,610064
4,5061,2744,506198889
4,5100,2712,510000
4,8685,2685,868515521107
4,5088,2664,508849550
4,0426,2653,042629700
4,9193,2630,919340626
4,8645,2619,864555622118
4,5050,2562,505037527
4,5066,2558,506670371
4,9617,2539,96170940048
4,0428,2500,042820007
4,2995,2485,299555504
4,4391,2463,43911111
4,4179,2434,41795772495
4,3933,2419,393336652491
4,4300,2410,430022
4,9191,2374,919119112112
4,5511,2330,551110404
4,8526,2298,85263043279
4,5106,2296,510620
4,4401,2284,4401214491856
4,0442,2268,044251111
4,9989,2248,998901876207
4,4367,2243,43673120
4,8643,2196,8643184658053
4,2782,2194,27822255625
4,0528,2191,0528002244
4,8635,2190,863596373456
4,5046,2176,504694155
4,2519,2153,251911217388
4,4915,2151,491523724081
4,4670,2131,46702674958
4,8687,2131,868718322556
4,4412,2098,441274732675
4,0567,2078,0567754626
4,1370,2055,13705782
4,3500,1988,350007
4,0432,1974,043265168
4,3361,1960,33618005531
4,3538,1953,353894126
4,5588,1924,55881593
4,6281,1914,6281314415468
4,5087,1913,508707967
4,0445,1909,044548792
4,9725,1909,972505711199
4,1111,1905,1111111111
4,1001,1896,10018478679
4,5510,1885,551085691
4,5042,1885,504206661
4,8663,1882,866332636666
4,1030,1869,1030118
4,2002,1864,20022003
4,5560,1852,556036745
4,8671,1852,8671612345678
4,0429,1850,042944478
4,2135,1850,213556423742
4,2126,1843,212604818754
4,4402,1814,4402089897309
4,5077,1809,507710661
4,5067,1808,506772539
4,9779,1800,9779818067421
4,5054,1795,505414611
4,5035,1782,503509723
4,5085,1766,508519750
4,6596,1721,6596867527
4,9652,1719,96522574824
4,4473,1716,4473995397150
4,5034,1708,50344499
4,9181,1689,918106388910
4,2567,1683,256772581025
4,5015,1682,501591521
4,5070,1682,507070056
4,3806,1676,380674832163
4,9747,1674,97477897750
4,1785,1660,17855149
4,5069,1634,506944673
4,3362,1599,33621895134
4,3934,1596,393485522364
4,1861,1593,18610164764
